iter	RMSE
0	4000.13669
1	3989.492502
2	3978.662838
3	3969.624546
4	3962.143346
5	3951.695599
6	3944.949504
7	3937.695737
8	3932.13992
9	3925.788868
10	3919.677675
11	3908.769128
12	3897.883487
13	3889.740291
14	3886.309505
15	3882.583694
16	3879.551003
17	3875.037779
18	3865.955858
19	3861.830122
20	3855.430114
21	3853.005436
22	3849.569438
23	3840.781408
24	3836.297604
25	3831.701219
26	3829.101861
27	3826.277644
28	3816.059934
29	3809.745235
30	3807.762335
31	3804.949408
32	3802.870154
33	3798.976574
34	3797.62737
35	3795.651687
36	3789.167037
37	3786.637189
38	3783.036871
39	3773.143388
40	3766.011887
41	3764.568714
42	3757.977087
43	3751.426428
44	3749.188648
45	3748.507461
46	3746.861419
47	3745.595827
48	3743.621822
49	3742.376322
50	3736.065724
51	3729.342545
52	3728.532998
53	3722.787353
54	3716.738672
55	3715.738697
56	3714.878786
57	3713.173735
58	3711.493123
59	3705.622477
60	3699.848759
61	3694.944488
62	3693.018694
63	3690.997649
64	3689.122395
65	3683.334376
66	3682.645613
67	3681.306013
68	3677.544079
69	3672.337377
70	3668.99239
71	3662.955791
72	3657.867808
73	3656.837414
74	3652.154154
75	3646.553675
76	3643.317663
77	3641.782889
78	3638.707096
79	3634.296718
80	3634.039056
81	3629.606311
82	3628.295562
83	3624.11826
84	3622.971773
85	3621.70282
86	3616.901417
87	3614.720297
88	3613.991928
89	3613.969256
90	3613.232364
91	3611.374399
92	3610.884065
93	3609.177921
94	3608.993677
95	3604.589704
96	3604.472094
97	3599.621901
98	3597.857042
99	3597.05169
100	3595.121095
101	3594.819394
102	3593.69539
103	3592.233947
104	3591.217053
105	3589.848307
106	3588.645828
107	3587.290807
108	3579.465879
109	3576.214144
110	3573.60802
111	3569.684057
112	3568.675808
113	3568.285119
114	3567.566181
115	3566.75306
116	3565.781576
117	3565.426664
118	3564.40509
119	3562.10873
120	3560.614988
121	3556.502799
122	3555.012533
123	3553.517325
124	3547.473431
125	3543.602396
126	3543.422498
127	3542.24952
128	3541.098288
129	3539.753708
130	3538.896223
131	3534.255517
132	3533.263431
133	3531.308713
134	3528.122633
135	3527.170775
136	3526.496852
137	3522.770706
138	3522.017915
139	3521.4433
140	3518.447961
141	3514.912674
142	3512.667232
143	3509.172941
144	3506.398844
145	3505.739426
146	3502.964658
147	3501.721465
148	3500.689457
149	3494.542792
150	3493.005841
151	3488.870509
152	3488.380862
153	3487.249172
154	3484.359762
155	3480.798038
156	3477.401953
157	3476.783312
158	3470.282931
159	3469.069883
160	3466.67296
161	3465.506068
162	3464.077524
163	3463.265228
164	3460.726387
165	3460.262362
166	3459.332752
167	3458.871547
168	3457.842489
169	3456.43099
170	3455.297534
171	3453.024414
172	3449.760032
173	3449.736915
174	3449.190292
175	3447.737207
176	3447.165108
177	3446.690938
178	3445.125169
179	3444.486485
180	3443.277086
181	3441.217761
182	3440.186394
183	3440.133875
184	3437.858298
185	3435.87186
186	3434.945425
187	3434.408113
188	3433.095794
189	3430.183576
190	3429.412059
191	3429.206087
192	3428.221769
193	3427.254655
194	3426.308364
195	3424.636107
196	3424.102159
197	3424.086428
198	3421.478003
199	3420.786658
200	3420.44451
201	3420.091246
202	3419.471724
203	3417.793681
204	3416.485007
205	3411.86758
206	3410.914647
207	3409.551072
208	3406.475601
209	3402.24092
210	3401.512147
211	3398.717268
212	3395.993038
213	3394.148541
214	3393.444203
215	3390.450427
216	3389.672682
217	3387.871047
218	3387.857434
219	3384.71273
220	3381.538633
221	3380.299279
222	3380.289135
223	3380.041071
224	3379.108897
225	3378.199073
226	3377.096333
227	3376.297234
228	3375.955666
229	3375.474251
230	3375.457133
231	3374.238132
232	3370.381364
233	3370.037648
234	3367.0868
235	3366.216067
236	3365.156165
237	3363.43716
238	3362.0878
239	3361.572347
240	3360.902952
241	3360.118554
242	3355.5976
243	3354.957652
244	3353.139864
245	3352.668158
246	3352.222265
247	3350.432853
248	3350.105253
249	3349.421992
250	3345.406031
251	3344.22944
252	3343.892796
253	3343.574999
254	3342.034594
255	3342.023631
256	3341.81478
257	3339.402383
258	3337.73226
259	3335.578633
260	3335.496734
261	3334.87662
262	3334.615047
263	3333.164807
264	3332.788588
265	3332.299311
266	3330.922546
267	3330.48346
268	3330.108526
269	3329.66656
270	3327.05013
271	3326.82153
272	3325.306334
273	3324.39578
274	3323.151814
275	3322.954172
276	3322.872109
277	3320.491615
278	3320.301773
279	3319.546423
280	3318.795985
281	3317.498505
282	3317.062826
283	3317.001021
284	3316.448672
285	3316.394201
286	3315.988119
287	3314.88145
288	3313.333523
289	3313.32265
290	3312.037341
291	3309.767134
292	3308.993175
