iter	Passed	Remaining
0	60	60363
1	69	34754
2	79	26546
3	89	22166
4	98	19700
5	105	17532
6	114	16216
7	121	15067
8	129	14260
9	137	13656
10	145	13099
11	154	12751
12	163	12397
13	171	12111
14	179	11802
15	187	11516
16	196	11387
17	206	11250
18	215	11112
19	225	11046
20	234	10950
21	244	10851
22	254	10806
23	264	10768
24	274	10715
25	283	10629
26	292	10543
27	302	10507
28	313	10483
29	322	10413
30	330	10340
31	340	10314
32	349	10243
33	358	10185
34	366	10100
35	376	10075
36	385	10038
37	394	9996
38	404	9968
39	412	9902
40	421	9869
41	432	9863
42	441	9828
43	450	9777
44	458	9731
45	466	9674
46	476	9669
47	487	9660
48	496	9631
49	505	9601
50	513	9560
51	521	9510
52	530	9485
53	538	9440
54	547	9411
55	555	9361
56	562	9314
57	570	9257
58	576	9188
59	583	9139
60	592	9114
61	599	9065
62	606	9026
63	614	8983
64	621	8938
65	630	8921
66	638	8892
67	648	8881
68	657	8871
69	664	8829
70	673	8817
71	682	8802
72	691	8781
73	700	8770
74	709	8752
75	719	8745
76	727	8718
77	737	8711
78	744	8683
79	751	8644
80	758	8601
81	765	8573
82	774	8559
83	783	8540
84	792	8535
85	801	8520
86	810	8508
87	819	8494
88	827	8473
89	834	8436
90	842	8413
91	850	8392
92	857	8365
93	865	8344
94	871	8298
95	879	8283
96	888	8269
97	895	8243
98	902	8214
99	913	8219
100	922	8214
101	928	8175
102	936	8159
103	945	8142
104	954	8139
105	964	8134
106	974	8130
107	982	8110
108	991	8104
109	999	8086
110	1007	8072
111	1015	8054
112	1025	8049
113	1033	8035
114	1042	8023
115	1050	8009
116	1058	7984
117	1067	7975
118	1075	7965
119	1083	7946
120	1091	7931
121	1103	7939
122	1112	7933
123	1124	7946
124	1133	7936
125	1142	7927
126	1150	7911
127	1159	7900
128	1167	7881
129	1173	7854
130	1184	7855
131	1192	7841
132	1202	7841
133	1210	7824
134	1218	7809
135	1228	7803
136	1236	7791
137	1244	7773
138	1254	7772
139	1263	7762
140	1272	7749
141	1279	7731
142	1288	7722
